measure,beat,element,duration
130,4.5,G3,0.4
131,1,Bb3,0.25
131,1.5,D4,0.4
131,2,D4,0.25
131,2.5,Bb3,0.4
131,3,G3,0.25
131,3.5,A3,0.4
131,4,G3,0.25
131,4.5,D3,0.4
132,1,G3,2.9
132,4,G3,0.9
133,1,G3,0.9
133,2,Bb3,0.9
133,3,D4,0.9
133,4,G3,0.9
134,1,D4,1.9
134,3,Bb3,1.9
135,1,A3,1.9
135,3,G3,1.9
136,1,Bb3,1.9
136,3,D4,0.25
136,3.5,A3,0.25
136,4,G3,0.9
137,1,Bb3,1.9
137,3,A3,1.9
138,1,G3,1.9
138,3,Bb3,1.9
139,1,rest,4
140,1,rest,4
