measure,element,duration
73,B5,0.5
73,G5,0.5
73,E5,0.5
73,C5,0.5
74,C5>E5>G5>C6>G5>E5>C5,1
75,E5,1
75,G5,1
75,B5,1
75,C6,1
76,A5,0.5
76,F5,0.5
76,D5,0.5
76,C5,0.5
76,rest,1
77,E5;C5,1
77,C5,1
78,C5,1
78,E5,1
78,G5,1
78,C6,1
79,B5,0.5
79,G5,0.5
79,E5,0.5
79,D5,0.5
79,C5,0.5
79,B4,0.5
79,A4,0.5
79,G4,0.5
80,C5;G4,1
80,G4,1
81,G4,1
81,B4,1
81,D5,1
81,G5,1
82,F5,0.5
82,D5,0.5
82,B4,0.5
82,A4,0.5
82,A4>C5>D5>E5,1
83,A4,1
84,C5,1
84,E5,1
84,G5,1
84,A5,1
85,F5,0.5
85,D5,0.5
85,C5,0.5
85,B4,0.5
85,A4,0.5
85,G4,0.5
85,E4,0.5
85,A4,0.5
86,C5>A4>G4>E4>A4,1
86,A4,1
87,E5,1
87,G5,1
87,B5,1
87,E6,1
88,D6,0.5
88,B5,0.5
88,G5,0.5
88,E5,0.5
88,rest,2
89,E5,1
89,G5,1
89,B5,1
89,E6,1
90,D6,0.5
90,B5,0.5
90,G5,0.5
90,E5,0.5
90,D5,0.5
90,C5,0.5
90,B4,0.5
90,G4,0.5
91,G5>D5>B4>G4,1
91,G4,1
92,C5,1
92,E5,1
92,G5,1
92,C6,1
93,B5,0.5
93,G5,0.5
93,E5,0.5
93,D5,0.5
93,C5,0.5
93,B4,0.5
93,A4,0.5
93,G4,0.5
94,C5;G4,1
94,G4,1
95,G4,1
95,B4,1
95,D5,1
95,G5,1
96,F5,0.5
96,D5,0.5
96,B4,0.5
96,A4,0.5
96,A4>C5>D5>E5,1
97,A4,1
98,E5,1
98,G5,1
98,B5,1
98,E6,1
99,C6,0.5
99,A5,0.5
99,F5,0.5
99,D5,0.5
99,C5,0.5
99,B4,0.5
99,A4,0.5
100,E5>C5>A4,1
100,A4,1
101,C5,1
101,E5,1
101,G5,1
101,A5,1
102,F5,0.5
102,D5,0.5
102,C5,0.5
102,B4,0.5
102,A4,0.5
102,G4,0.5
102,E4,0.5
102,A4,0.5
103,C5>A4>G4>E4>A4,1
103,A4,1
104,G4,1
104,B4,1
104,D5,1
104,G5,1
105,F5,0.5
105,D5,0.5
105,B4,0.5
105,A4,0.5
105,A4>C5>D5>E5,1
106,A4,1
107,C5,1
107,E5,1
107,G5,1
107,C6,1
108,B5,0.5
108,G5,0.5
108,E5,0.5
108,D5,0.5
108,C5,0.5
108,B4,0.5
108,A4,0.5
108,G4,0.5
109,C5;G4,1
109,G4,1
110,E5,1
110,G5,1
110,B5,1
110,E6,1
111,D6,0.5
111,B5,0.5
111,G5,0.5
111,E5,0.5
111,rest,2
112,E5,1
112,G5,1
112,B5,1
112,D6,1
113,C6,0.5
113,A5,0.5
113,F5,0.5
113,D5,0.5
113,C5,1
114,E5>C5>A4>F4,1
114,C5,1
115,C5,0.5
115,E5,0.5
115,G5,0.5
115,C6,0.5
115,B5,0.5
115,G5,0.5
115,E5,0.5
115,C5,0.5
116,C5>E5>G5>C6>G5>E5>C5,1
117,E5,1
117,G5,1
117,B5,1
117,E6,1
118,D6,0.5
118,B5,0.5
118,G5,0.5
118,E5,0.5
118,rest,2
119,rest,4
120,rest,4
