measure,beat,element,duration
127,3,C4,0.25
127,3.5,Eb3,0.4
127,4,C4,0.25
127,4.5,G3,0.4
128,1,G3,2.9
128,4,C4,0.9
129,1,Eb4,0.9
129,2,G4,0.9
129,3,Eb4,0.9
129,4,C4,0.9
130,1,C4,1.9
130,3,Eb4,1.9
131,1,G3,1.9
131,3,Eb4,1.9
132,1,G4,1.9
132,3,Eb4,0.25
132,3.5,D4,0.25
132,4,C4,0.9
133,1,G4,1.9
133,3,G3,1.9
134,1,Eb4,1.9
134,3,G4,1.9
135,1,F4,0.25
135,1.5,Eb4,0.4
135,2,G4,1.9
136,1,F4,1.9
136,3,Eb4,1.9
137,1,D4,0.9
137,2,G4,1.9
137,4,Eb4,0.9
138,1,C4,3.9
139,1,rest,4
140,1,rest,4
