A = C4
B1 = G3 (and B2 = G3)
C1 = Eb4
C2 = Bb3

A-A
measure,beat,element,duration
5,4,D4,0.25
5,4.5,G3,0.4
6,1,Bb3,0.25
6,1.5,D4,0.4
6,2,D4,0.25
6,2.5,Bb3,0.4
6,3,G3,0.25
6,3.5,A3,0.4
6,4,G3,0.25
6,4.5,D3,0.4
7,1,G3,2.9
7,4,G3,0.9
8,1,G3,0.9
8,2,Bb3,0.9
8,3,D4,0.9
8,4,G3,0.9
9,1,D4,1.9
9,3,Bb3,1.9
10,1,A3,1.9
10,3,G3,1.9
11,1,Bb3,1.9
11,3,D4,0.25
11,3.5,A3,0.25
11,4,G3,0.9
12,1,Bb3,1.9
12,3,A3,1.9
13,1,G3,1.9
13,3,Bb3,1.9
14,1,A3,0.25
14,1.5,G3,0.4
14,2,Bb3,1.9
15,1,A3,1.9
15,3,G3,1.9
16,1,F#3,0.9
16,2,G3,1.9
16,4,D3,0.9
17,1,G3,3.9

B2-A
measure,beat,element,duration
1,1,G3,0.9
1,2,Bb3,0.4
1,2.5,A3,0.4
1,3,C4,1.9
2,1,G3,0.9
2,2,Bb3,0.9
2,3,F4,1.9
3,1,G3,0.9
3,2,Bb3,0.4
3,2.5,C4,0.25
3,3,D4,0.25
3,3.5,Eb4,0.9
3,4.5,G3,0.4
4,1,A3,2.9
4,4,G3,0.9
5,1,G3,0.9
5,2,Bb3,0.4
5,2.5,C4,0.4
5,3,G3,0.25
5,3.5,Eb4,0.4
5,4,C4,0.25
5,4.5,G3,0.4
6,1,Bb3,0.25
6,1.5,G3,0.4
6,2,C4,0.25
6,2.5,Eb4,0.4
6,3,Bb3,0.25
6,3.5,G3,0.4
6,4,E3,0.25
6,4.5,C4,0.4
7,1,E4,2.9
7,4,C4,0.9
8,1,C4,0.9
8,2,Eb4,0.9
8,3,G4,0.9
8,4,G4,0.9
9,1,G4,1.9
9,3,Eb4,1.9
10,1,F4,1.9
10,3,E4,1.9
11,1,Eb4,1.9
11,3,G4,0.25
11,3.5,Eb4,0.25
11,4,C4,0.9
12,1,Eb4,1.9
12,3,D4,1.9
13,1,C4,1.9
13,3,Eb4,1.9
14,1,D4,0.25
14,1.5,C4,0.4
14,2,Eb4,1.9
15,1,D4,1.9
15,3,C4,1.9
16,1,B3,0.9
16,2,G3,1.9
16,4,C4,0.9
17,1,C4,3.9

A-C1
measure,beat,element,duration
1,1,C4,0.9
1,2,Eb4,0.4
1,2.5,G4,0.4
1,3,Eb4,1.9
2,1,C4,0.9
2,2,Eb4,0.9
2,3,F4,1.9
3,1,C4,0.9
3,2,Eb4,0.4
3,2.5,G4,0.25
3,3,Eb4,0.25
3,3.5,F4,0.9
3,4.5,Eb4,0.4
4,1,F4,2.9
4,4,Eb4,0.9
5,1,C4,0.9
5,2,Eb4,0.4
5,2.5,G4,0.4
5,3,Eb4,0.25
5,3.5,C4,0.4
5,4,G4,0.25
5,4.5,Eb4,0.4
6,1,Eb4,0.25
6,1.5,F4,0.4
6,2,G4,0.25
6,2.5,Eb4,0.4
6,3,F4,0.25
6,3.5,Eb4,0.4
6,4,C4,0.25
6,4.5,Eb4,0.4
7,1,Eb4,2.9
7,4,Eb4,0.9
8,1,Eb4,0.9
8,2,G4,0.9
8,3,Eb4,0.9
8,4,F4,0.9
9,1,G4,1.9
9,3,Eb4,1.9
10,1,F4,1.9
10,3,Eb4,1.9
11,1,G4,1.9
11,3,Eb4,0.25
11,3.5,F4,0.25
11,4,Eb4,0.9
12,1,G4,1.9
12,3,F4,1.9
13,1,Eb4,1.9
13,3,G4,1.9
14,1,F4,0.25
14,1.5,Eb4,0.4
14,2,G4,1.9
15,1,F4,1.9
15,3,Eb4,1.9
16,1,D4,0.9
16,2,Eb4,1.9
16,4,Eb4,0.9
17,1,Eb4,3.9

C1-C2
measure,beat,element,duration
1,1,Eb4,0.9
1,2,G4,0.4
1,2.5,Bb4,0.4
1,3,G4,1.9
2,1,Eb4,0.9
2,2,G4,0.9
2,3,Bb3,1.9
3,1,Eb4,0.9
3,2,G4,0.4
3,2.5,Bb4,0.25
3,3,G4,0.25
3,3.5,F4,0.9
3,4.5,Eb4,0.4
4,1,Bb3,2.9
4,4,Eb4,0.9
5,1,Eb4,0.9
5,2,G4,0.4
5,2.5,Bb4,0.4
5,3,G4,0.25
5,3.5,Eb4,0.4
5,4,Bb4,0.25
5,4.5,G4,0.4
6,1,G4,0.25
6,1.5,Eb4,0.4
6,2,Bb4,0.25
6,2.5,G4,0.4
6,3,Eb4,0.25
6,3.5,D4,0.4
6,4,C4,0.25
6,4.5,Bb3,0.4
7,1,Bb3,2.9
7,4,Bb3,0.9
8,1,Bb3,0.9
8,2,Eb4,0.9
8,3,G4,0.9
8,4,Bb3,0.9
9,1,Bb3,1.9
9,3,Eb4,1.9
10,1,Bb3,1.9
10,3,Eb4,1.9
11,1,G4,1.9
11,3,Bb4,0.25
11,3.5,G4,0.25
11,4,Eb4,0.9
12,1,G4,1.9
12,3,Bb3,1.9
13,1,Eb4,1.9
13,3,Eb4,1.9
14,1,F4,0.25
14,1.5,Eb4,0.4
14,2,Bb3,1.9
15,1,Bb3,1.9
15,3,Eb4,1.9
16,1,G4,0.9
16,2,Bb3,1.9
16,4,Bb3,0.9
17,1,Bb3,3.9

C2-A
measure,beat,element,duration
1,1,Bb3,0.9
1,2,D4,0.4
1,2.5,Eb4,0.4
1,3,C4,1.9
2,1,Bb3,0.9
2,2,D4,0.9
2,3,G3,1.9
3,1,Bb3,0.9
3,2,D4,0.4
3,2.5,C4,0.25
3,3,D4,0.25
3,3.5,Eb4,0.9
3,4.5,C4,0.4
4,1,G3,2.9
4,4,Eb4,0.9
5,1,Bb3,0.9
5,2,D4,0.4
5,2.5,C4,0.4
5,3,D4,0.25
5,3.5,C4,0.4
5,4,Eb4,0.25
5,4.5,C4,0.4
6,1,D4,0.25
6,1.5,C4,0.4
6,2,Eb4,0.25
6,2.5,D4,0.4
6,3,C4,0.25
6,3.5,Eb3,0.4
6,4,C4,0.25
6,4.5,G3,0.4
7,1,G3,2.9
7,4,C4,0.9
8,1,Eb4,0.9
8,2,G4,0.9
8,3,Eb4,0.9
8,4,C4,0.9
9,1,C4,1.9
9,3,Eb4,1.9
10,1,G3,1.9
10,3,Eb4,1.9
11,1,G4,1.9
11,3,Eb4,0.25
11,3.5,D4,0.25
11,4,C4,0.9
12,1,G4,1.9
12,3,G3,1.9
13,1,Eb4,1.9
13,3,G4,1.9
14,1,F4,0.25
14,1.5,Eb4,0.4
14,2,G4,1.9
15,1,F4,1.9
15,3,Eb4,1.9
16,1,E4,0.9
16,2,G4,1.9
16,4,Eb4,0.9
17,1,C4,3.9
